Δx [m],Δy [m],φ [],R [m],Δz [m]
2.28852e-007,2.03927e-008,-0.0888742,2.29759e-007,3.87766e-009
2.28852e-007,0,0,2.28852e-007,-9.83254e-011
-1.15559e-007,1.76737e-007,-2.14987,2.11163e-007,1.65083e-008
-2.33384e-007,-6.79758e-009,3.11247,2.33483e-007,-1.24243e-009
-2.26586e-007,-1.5861e-008,3.07171,2.27141e-007,7.51541e-009
-1.38218e-007,6.79758e-009,-3.09245,1.38385e-007,4.12345e-008
-1.11027e-007,9.06344e-009,-3.06014,1.11397e-007,4.4501e-008
-1.13293e-007,3.39879e-008,-2.85014,1.18281e-007,3.82492e-008
-8.83686e-008,7.02417e-008,-2.46999,1.12884e-007,3.73515e-008
1.5861e-008,1.17825e-007,-1.43699,1.18888e-007,5.29445e-008
5.66465e-008,6.11782e-008,-0.823841,8.33763e-008,-1.12554e-009
4.53172e-008,8.61027e-008,-1.08632,9.73002e-008,2.28866e-009
5.21148e-008,6.79758e-008,-0.916714,8.56543e-008,3.31842e-009
6.11782e-008,6.571e-008,-0.821097,8.97807e-008,3.72207e-009
5.21148e-008,6.34441e-008,-0.883125,8.21042e-008,-2.40223e-009
