Δx [m],Δy [m],φ [],R [m],Δz [m]
7.15312e-006,1.13944e-007,-0.0159279,7.15403e-006,-6.16209e-008
7.29239e-006,1.13944e-007,-0.0156237,7.29328e-006,-7.10599e-008
7.29239e-006,2.15227e-007,-0.0295053,7.29556e-006,-4.11873e-008
-1.01283e-007,7.27973e-006,-1.58471,7.28043e-006,-1.45736e-008
-1.64585e-007,7.24174e-006,-1.59352,7.24361e-006,-9.7221e-008
-1.89906e-007,7.22908e-006,-1.59706,7.23158e-006,-3.02985e-008
